"report-def-3-rfile"
"Iteration" "report-def-3"
("Iteration" "report-def-3")
1 -1.091449516613498
2 -1.574985945623311
3 -1.82746269998931
4 -1.959659306506408
5 -2.029507241088652
6 -2.067460695333967
7 -2.088430031646825
8 -2.100264148388543
9 -2.106976920672705
10 -2.110968995079612
11 -2.113508661895853
12 -2.115242172882195
13 -2.116504961106257
14 -2.117468636868069
15 -2.118237893290409
16 -2.118845378599246
17 -2.119342863499227
18 -2.119760363220801
19 -2.120105450031465
20 -2.120391473227888
21 -2.120625048874174
22 -2.120812962792986
23 -2.120959963235476
24 -2.121071473263405
25 -2.121140790448998
26 -2.121183336339016
27 -2.121206696318951
28 -2.121215846886595
29 -2.121215266100736
30 -2.121208529109232
31 -2.121198716104287
32 -2.121188113224743
33 -2.121178446835182
34 -2.121170754790496
35 -2.121165638871172
36 -2.121163226690319
37 -2.121163386979381
38 -2.121165743247768
39 -2.121168516609889
40 -2.121171307732074
41 -2.121174899564567
42 -2.12117964065991
43 -2.121185299708722
44 -2.12119108146272
45 -2.121196842813057
46 -2.121202267884154
47 -2.121207146970362
48 -2.121210686085074
49 -2.121212709114425
50 -2.121213689424124
51 -2.1212139258491
52 -2.121213633200217
53 -2.121212981336117
54 -2.121212108927224
55 -2.121211128570343
56 -2.121210131765617
57 -2.121209189653022
58 -2.121208354995541
59 -2.121207662809319
60 -2.12120713271685
