"drag-rfile"
"Iteration" "drag"
("Iteration" "drag")
1 0.05507981284693023
2 0.06642574613559062
3 0.06417329798516586
4 0.05856986661896429
5 0.05321522885037472
6 0.04933619408870103
7 0.04664828486906587
8 0.04496454745956132
9 0.04396013587127803
10 0.04341688943769
11 0.04312565591293961
12 0.04299213905812015
13 0.04284418190904846
14 0.04279644063519891
15 0.04278633163059758
16 0.04278926411379681
17 0.0427966181542967
18 0.04280313540154235
19 0.04280761467278083
20 0.04280989384447136
21 0.04281065924815504
22 0.04281048539969796
23 0.04280991914587219
24 0.0428092729063459
25 0.04280872341765002
26 0.04280834829653084
27 0.04280802582877376
28 0.04280790605096665
29 0.04280786053863455
30 0.04280791020927242
31 0.04280799627783137
32 0.04280811726387267
33 0.04280824318252645
34 0.04280833178358533
35 0.04280839142023025
36 0.04280843812969133
37 0.04280844309759065
38 0.04280843780717026
39 0.04280842013071068
40 0.04280840763153559
41 0.04280839879503461
42 0.04280839762278214
43 0.04280841935006267
44 0.04280843706781828
45 0.04280844114022253
46 0.04280843683091205
47 0.04280842996031593
48 0.0428084303438071
49 0.04280843291562837
50 0.04280843452810156
51 0.04280843800517719
52 0.04280844070736413
53 0.04280844275575309
54 0.04280844509507501
55 0.04280844511881016
