"moment-rfile"
"Iteration" "moment"
("Iteration" "moment")
1 0.0102725581550867
2 0.02247738715910613
3 0.02925280939202725
4 0.03226840315304188
5 0.03202920124173156
6 0.03014799517870443
7 0.02691498580626527
8 0.0231219711982361
9 0.01923885327909048
10 0.01595430178192396
11 0.01354967403798615
12 0.01217329203246939
13 0.01169074107793324
14 0.01191947651260327
15 0.01258107502819947
16 0.01342570256511
17 0.01425511467704638
18 0.01495537834462989
19 0.01547264065482511
20 0.01580511768571138
21 0.01597581370518861
22 0.01602284238898099
23 0.01598592887707845
24 0.01590144689587216
25 0.01580004046425139
26 0.01569823882468985
27 0.01560832373723721
28 0.01553874260692305
29 0.01549074296797928
30 0.01546308878522871
31 0.0154519928975999
32 0.01545291511130233
33 0.01546155546007413
34 0.01547292170854063
35 0.01548462283145881
36 0.01549506205925734
37 0.01550326282731859
38 0.01550912628035577
39 0.01551293807841163
40 0.01551509686439443
41 0.01551610428953573
42 0.01551628545917868
43 0.0155160690263918
44 0.0155156282171079
45 0.01551513137696725
46 0.0155145966893054
47 0.01551424159414788
48 0.0155140213840039
49 0.01551396782847222
50 0.01551399788601513
51 0.0155141427939998
52 0.015514280775469
53 0.01551446586894008
54 0.01551459839130634
55 0.01551473825871202
