"report-def-0-rfile"
"Iteration" "report-def-0"
("Iteration" "report-def-0")
1 -1.231127276953851
2 -1.7875158684645
3 -2.078374973377552
4 -2.230392449321336
5 -2.3139853927163
6 -2.360578057310113
7 -2.388232662023702
8 -2.404407360784155
9 -2.414054958910288
10 -2.41947361810633
11 -2.422805024789988
12 -2.424970884703387
13 -2.426409095385448
14 -2.427376124609358
15 -2.428053332134599
16 -2.428517027152317
17 -2.428851023036829
18 -2.429050469330905
19 -2.429161716193474
20 -2.42922259599509
21 -2.429257545015242
22 -2.429282581095649
23 -2.429306584737908
24 -2.429329631811196
25 -2.429354785067312
26 -2.429378475018708
27 -2.429403495806436
28 -2.429425264702098
29 -2.429449516954231
30 -2.429473774823442
31 -2.429495676183322
32 -2.429515329390656
33 -2.429532468347892
34 -2.429547049190508
35 -2.429559309986586
36 -2.429569436188397
37 -2.429577781997333
38 -2.429584601358692
39 -2.429590204398511
40 -2.429594807102161
41 -2.42959863168192
42 -2.429601828830654
43 -2.429604540809001
44 -2.429606857685346
45 -2.429608843095688
46 -2.429610531268049
47 -2.429611965127897
48 -2.429613184893585
49 -2.429614248294059
50 -2.429615210224049
51 -2.429616111093963
52 -2.429616966745966
53 -2.42961777944282
54 -2.429618544380356
55 -2.429619258116337
56 -2.42961991892523
57 -2.429620528065148
58 -2.429621087914338
59 -2.429621601996681
60 -2.429622073852705
