"moment-rfile"
"Iteration" "moment"
("Iteration" "moment")
1 0.01778776012808085
2 0.0672042256085459
3 0.1064643207298484
4 0.1326891343316907
5 0.1514183279832378
6 0.1662688264765124
7 0.1772694463808936
8 0.1857025351134249
9 0.1933057629832758
10 0.2010226802935514
11 0.2088841462357969
12 0.2166806894155238
13 0.2248655113972225
14 0.2326643596587001
15 0.2395305953179751
16 0.2454253671638075
17 0.2504262051330414
18 0.2545091750559402
19 0.2577506937175009
20 0.2600945099397592
21 0.2642276676490427
22 0.2741329656656383
23 0.282015268781878
24 0.2829863848505443
25 0.2808962987663485
26 0.278592062065977
27 0.2764430863988255
28 0.2744087412682516
29 0.272726753831195
30 0.2716322634628029
31 0.2715165356254172
32 0.2688116932754717
33 0.2679184169914796
34 0.2690813126222597
35 0.2697391443834798
36 0.2671418649293734
37 0.2666296111279606
38 0.2677017772180608
39 0.2687477709067015
40 0.2682027976181985
41 0.2677917859741806
42 0.2617275665957456
43 0.2600030073833253
44 0.261088581723642
45 0.2624491510180758
46 0.26310477207167
47 0.2670652312437866
48 0.2766454267612797
49 0.2842992452344955
50 0.2856338261197371
51 0.2831383018822037
52 0.2799034483039352
53 0.2762802192414491
54 0.2725226859574708
55 0.2683843501073995
56 0.2678084380033328
57 0.2692575326001667
58 0.2696949867787639
59 0.2678863754328315
60 0.2685186109192935
61 0.2717030785128982
62 0.2731367987755464
63 0.2728484316043544
64 0.2739991709528317
65 0.2765021818047572
66 0.2783925369886793
67 0.2782245451497969
68 0.2782776822996773
69 0.2769735802524465
70 0.2748358546648161
71 0.2728259908513503
72 0.271190974631587
73 0.2702713453043211
74 0.2699252999088089
75 0.2666689901568113
76 0.2670022156628624
77 0.2702615202521714
78 0.2718920563134071
79 0.2711140672220866
80 0.2719918245610549
81 0.2757533789555398
82 0.278719544450954
83 0.2790436390090597
84 0.2768731709379611
85 0.2725734692714236
86 0.2723780521308942
87 0.2766145502024122
88 0.2792476519884674
89 0.2780726767956557
90 0.2768179312928192
91 0.2779817255954578
92 0.2775164122172332
93 0.2738552412219177
94 0.2712873638531119
95 0.270635947748761
96 0.2695360232346706
97 0.2673864474878753
98 0.2679547636872333
99 0.264951267228016
100 0.2659270251773916
