"lift-rfile"
"Iteration" "lift"
("Iteration" "lift")
1 0.02212785961708545
2 0.1154168883377365
3 0.1978345401904163
4 0.2577657480934649
5 0.3025909499315108
6 0.3383331644400497
7 0.3653208786794525
8 0.3859531761733825
9 0.4037160241113042
10 0.4207632901779766
11 0.4375545538546939
12 0.4539461860953914
13 0.4708879923935848
14 0.48712785600638
15 0.5016189897618936
16 0.5142246286981512
17 0.5250422664135809
18 0.5340083158246782
19 0.5412341667070188
20 0.5466272950189882
21 0.5549841366917075
22 0.5739746696467773
23 0.5902981904501629
24 0.5940699587885953
25 0.5913184027518819
26 0.5874710009528912
27 0.5834991414572241
28 0.5795093193790958
29 0.5760399081561931
30 0.5736073324338816
31 0.5729936616053197
32 0.5679010676911457
33 0.5657237022930522
34 0.5675340590771782
35 0.5687126215606955
36 0.5640659696967839
37 0.5627066813343677
38 0.5644800901212851
39 0.5664084399148002
40 0.5656027244619364
41 0.5647673726311933
42 0.5537618337690199
43 0.5496680775507103
44 0.5511973920073251
45 0.5535078685551061
46 0.5547693009647231
47 0.561933528266396
48 0.5798743334025752
49 0.5954598729326077
50 0.5996879960281819
51 0.5961897873866278
52 0.5905380420472821
53 0.5837271055405892
54 0.5763436492984637
55 0.5680578943950537
56 0.5660024200719332
57 0.5681210442900141
58 0.5688159037524469
59 0.5654967118434423
60 0.5662920896552546
61 0.5720612027756447
62 0.5751162754919276
63 0.5749454209634934
64 0.5771428962353524
65 0.5819515253351614
66 0.5858718096262362
67 0.5860849322813101
68 0.586332784555871
69 0.5841192283710148
70 0.5801329328194365
71 0.5761698771990436
72 0.5727825373299217
73 0.5706767469142638
74 0.5696901923210466
75 0.5636003290338156
76 0.5635296330693145
77 0.5692762974271386
78 0.5725912204200272
79 0.5715143236791305
80 0.5730981711756732
81 0.5800929866383093
82 0.5861330527525408
83 0.5874192282367441
84 0.5838527376828746
85 0.5759628171021078
86 0.5749265121724475
87 0.5823610972854527
88 0.5876426776867563
89 0.5860358852157765
90 0.5837897945300059
91 0.5857828571971653
92 0.5851230173626427
93 0.5784628738981551
94 0.5732550290110804
95 0.5715104266183613
96 0.5691609943821893
97 0.5649042531982892
98 0.5653809555636191
99 0.5598686138672629
100 0.5610023487083124
