"drag-rfile"
"Iteration" "drag"
("Iteration" "drag")
1 0.03011854961805713
2 0.03797256462336717
3 0.03722803052244127
4 0.03438451643919997
5 0.03164586649611283
6 0.02945191246285797
7 0.02782785281085781
8 0.02670416162410685
9 0.02605253371873817
10 0.02574310231182032
11 0.02565487027785237
12 0.02568036322676681
13 0.02578639742884338
14 0.0259258342483662
15 0.02601271756525065
16 0.02606188564494145
17 0.0260667071401786
18 0.02603920928635541
19 0.02599051160591814
20 0.02591694105839944
21 0.02599973873179281
22 0.02634660634047048
23 0.02654889765639985
24 0.02624114073804076
25 0.02592492974658453
26 0.02570646861888199
27 0.0255600539810803
28 0.02547094071760783
29 0.02542923259265053
30 0.02543108904346302
31 0.02550747990209077
32 0.025356931268835
33 0.02540457234704102
34 0.02555310048205979
35 0.02560224639948751
36 0.02542311487539148
37 0.02546104145300952
38 0.02557578194116035
39 0.0256301697669159
40 0.02553435677032018
41 0.02561808634573802
42 0.02518376957815626
43 0.02523108358345611
44 0.02542686781673657
45 0.02551329292713881
46 0.02553587560093611
47 0.02577909679168728
48 0.02621631601712698
49 0.02646108682913396
50 0.02622314859336349
51 0.02589479924276323
52 0.0256442198000285
53 0.02543190667167943
54 0.02531122016260913
55 0.02518632312354507
56 0.02530442275477161
57 0.02549151116677438
58 0.02554375922767202
59 0.0254444060570252
60 0.02553797213127526
61 0.02574526729186149
62 0.02576471026514655
63 0.02568173562994199
64 0.02572544480388513
65 0.02583005532033442
66 0.02587390336099818
67 0.02571835485859811
68 0.02575550379477036
69 0.02561679470505381
70 0.02551052101792004
71 0.02545784930802057
72 0.02541813751908
73 0.02544158574482211
74 0.02548329611343625
75 0.02530558113255092
76 0.02544301052147569
77 0.02568561184702559
78 0.02573069988221396
79 0.02562984110139056
80 0.02567956860401367
81 0.0258624762820198
82 0.02593678684652201
83 0.02584098847653326
84 0.02565129868966316
85 0.02540400048153182
86 0.02548488134416067
87 0.02577617570756931
88 0.02586514957040341
89 0.02570231414337134
90 0.0256224129048882
91 0.02570396837427305
92 0.02565923548795509
93 0.02543401933923527
94 0.02537637278173447
95 0.02543839273965274
96 0.02543516571741275
97 0.02535974148216383
98 0.02551198134660995
99 0.02531008394429083
100 0.02547671139624622
